Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,-9,63,0,1,1,1,-4,0,-36,22,0,1,1,-1,2,1
-7,72,32,3,3,0,-4,-7,2,-16,-3,-16,-5,-5,-1,4,1
-2,-15,64,3,-2,-7,-5,-4,3,9,45,11,3,0,0,0,1
4,19,37,-5,-8,0,2,2,3,42,-60,1,-2,4,-1,2,1
-9,11,-50,-13,-2,-5,-4,-5,9,2,-37,2,4,6,6,4,1
-9,-21,-56,-6,-5,-7,0,-3,4,0,-3,4,8,3,2,0,1
9,14,4,14,3,2,-2,3,-28,-43,-128,-36,-17,-9,-9,-11,1
10,6,117,10,5,3,3,3,-4,-25,53,1,2,3,-7,-4,1
-8,1,-84,-14,-3,2,1,-2,14,52,95,23,9,5,5,6,1
-4,-26,-62,-8,-2,-4,-4,-2,-7,30,78,5,-2,-4,-3,-5,1
-6,-48,-70,-11,-12,3,-2,-4,0,18,-8,5,-2,1,0,-4,1
-12,-72,-104,-27,-10,-10,-4,-1,-2,40,117,-1,-8,-12,-2,-4,1
7,31,112,14,7,14,5,5,-9,-21,-27,-7,-6,-10,-2,-3,1
9,31,-11,11,1,6,2,-1,-2,-50,-48,1,-1,-1,1,1,1
-2,83,47,-3,6,7,-1,-1,2,-33,10,8,0,-2,-1,-1,1
1,-33,-58,3,6,5,1,1,1,33,-83,-7,-3,0,2,-1,1
-8,6,74,-10,-14,-17,-5,-6,6,-29,-77,5,6,8,-1,1,1
-3,1,-12,6,3,6,2,1,1,0,35,6,8,12,-4,-2,1
-1,-28,-49,1,4,-5,0,1,1,35,15,-5,-3,-6,-2,-2,1
3,34,31,2,-1,-7,-1,3,-7,25,58,-5,-7,-1,-5,-4,1
4,46,15,2,4,1,3,-2,-12,-52,-72,-13,-10,-2,1,0,1
11,26,-22,2,3,3,1,0,-3,-53,25,4,2,4,6,5,1
-1,-14,-53,-11,-7,-2,-6,-3,-7,-39,17,-5,1,1,-4,-5,1
-1,-11,-7,12,3,2,2,0,9,7,-31,-1,-3,-8,2,3,1
4,31,46,7,0,5,1,-2,3,17,11,-1,3,2,-1,1,1
0,1,47,3,1,1,-2,0,-1,-5,-2,-1,-1,-5,-2,-1,1
9,8,27,11,1,-2,2,5,-8,-11,49,-1,3,-1,-3,-1,1
-13,-38,-24,-3,-5,-4,-3,-5,0,-43,-75,-4,-3,-4,-3,0,1
-8,-15,-14,-10,-3,-4,-5,-4,9,-2,38,7,1,-5,1,1,1
-7,-15,70,1,2,4,0,-3,12,99,-44,0,-6,0,0,3,1
-1,-9,-33,0,2,-3,-1,0,-10,3,61,-9,-5,-5,-2,-4,1
7,11,4,1,2,-4,1,3,-12,-47,-26,-17,-7,-2,-4,-7,1
4,26,4,11,6,2,2,-1,-5,-15,40,-3,-5,-4,-3,-1,1
9,-1,36,11,4,7,5,2,-4,18,-24,-1,-1,0,0,-3,1
5,-32,-22,7,3,1,3,1,6,28,30,19,5,1,1,1,1
